Step,BLOB_EnsembleMolecular_BLOB_Gsol_20250512_041334 - best_value,Molecular_Laplace_BO_Gsol_20250511_180607 - best_value,Molecular_VBLL_Gsol_dense_precision_multirank_20250510_145035 - best_value,ibnn-Gsol - best_value,dkl-Gsol - best_value,gp-Gsol - best_value,Molecular_VBLL_Gsol_dense_precision_multirank_20250510_040825 - best_value,ibnn-Gsol - best_value,dkl-Gsol - best_value,gp-Gsol - best_value,Molecular_Laplace_BO_Gsol_20250509_163244 - best_value,ibnn-Gsol - best_value,dkl-Gsol - best_value,gp-Gsol - best_value,Molecular_Laplace_BO_Gsol_20250509_153306 - best_value,Molecular_BLOB_Gsol_dense_precision_multirank_20250508_183330 - best_value,BLOB_EnsembleMolecular_BLOB_Gsol_20250512_144325 - best_value,BLOB_EnsembleMolecular_BLOB_Gsol_20250512_041334 - best_value,Molecular_VBLL_Gsol_dense_precision_multirank_20250512_234555 - best_value,Molecular_DeepEnsemble_Gsol_std_20250512_230151 - best_value,Molecular_DeepEnsemble_Gsol_std_20250512_225700 - best_value,Molecular_DeepEnsemble_Gsol_std_20250512_171510 - best_value
85,,-1.11596373,-1.18847838,-1.12007244,-1.11386856,-1.15683315,-1.18847838,-1.12007244,-1.11386856,-1.15683315,-1.09188288,-1.12007244,-1.11386856,-1.15683315,-1.15683315,-1.18847838,,-1.18847838,-1.18847838,-1.15683315,-1.15683315,-1.18847838
86,-1.15683315,-1.11596373,-1.18847838,-1.12007244,-1.11386856,-1.15683315,-1.18847838,-1.12007244,-1.11386856,-1.15683315,-1.09188288,-1.12007244,-1.11386856,-1.15683315,-1.15683315,-1.18847838,,,-1.18847838,-1.15683315,-1.15683315,-1.18847838
87,,-1.11596373,-1.18847838,-1.12007244,-1.11386856,-1.15683315,-1.18847838,-1.12007244,-1.11386856,-1.15683315,-1.09188288,-1.12007244,-1.11386856,-1.15683315,-1.15683315,-1.18847838,,,-1.18847838,-1.15683315,-1.15683315,-1.18847838
88,-1.15683315,-1.11596373,-1.18847838,-1.12007244,-1.11386856,-1.15683315,-1.18847838,-1.12007244,-1.11386856,-1.15683315,-1.09188288,-1.12007244,-1.11386856,-1.15683315,-1.15683315,-1.18847838,,,-1.18847838,-1.15683315,-1.15683315,-1.18847838
89,,-1.11596373,-1.18847838,-1.12007244,-1.11386856,-1.15683315,-1.18847838,-1.12007244,-1.11386856,-1.15683315,-1.09188288,-1.12007244,-1.11386856,-1.15683315,-1.15683315,-1.18847838,,,-1.18847838,-1.15683315,-1.15683315,-1.18847838
90,-1.15683315,-1.11596373,-1.18847838,-1.12007244,-1.11386856,-1.15683315,-1.18847838,-1.12007244,-1.11386856,-1.15683315,-1.09188288,-1.12007244,-1.11386856,-1.15683315,-1.15683315,-1.18847838,,,-1.18847838,-1.15683315,-1.15683315,-1.18847838
91,,-1.11596373,-1.18847838,-1.12007244,-1.11386856,-1.15683315,-1.18847838,-1.12007244,-1.11386856,-1.15683315,-1.09188288,-1.12007244,-1.11386856,-1.15683315,-1.15683315,-1.18847838,,,-1.18847838,-1.15683315,-1.15683315,-1.18847838
92,-1.18847838,-1.11596373,-1.18847838,-1.12007244,-1.11386856,-1.15683315,-1.18847838,-1.12007244,-1.11386856,-1.15683315,-1.09188288,-1.12007244,-1.11386856,-1.15683315,-1.15683315,-1.18847838,,,-1.18847838,-1.15683315,-1.15683315,-1.18847838
93,,-1.11596373,-1.18847838,-1.12007244,-1.11386856,-1.15683315,-1.18847838,-1.12007244,-1.11386856,-1.15683315,-1.09188288,-1.12007244,-1.11386856,-1.15683315,-1.15683315,-1.18847838,,,-1.18847838,-1.15683315,-1.15683315,-1.18847838
94,-1.18847838,-1.11596373,-1.18847838,-1.12007244,-1.11386856,-1.15683315,-1.18847838,-1.12007244,-1.11386856,-1.15683315,-1.09188288,-1.12007244,-1.11386856,-1.15683315,-1.15683315,-1.18847838,,,-1.18847838,-1.15683315,-1.15683315,-1.18847838
95,,-1.11596373,-1.18847838,-1.12007244,-1.11386856,-1.15683315,-1.18847838,-1.12007244,-1.11386856,-1.15683315,-1.09188288,-1.12007244,-1.11386856,-1.15683315,-1.15683315,-1.18847838,,,-1.18847838,-1.15683315,-1.15683315,-1.18847838
96,-1.18847838,-1.18847838,-1.18847838,-1.12007244,-1.11386856,-1.15683315,-1.18847838,-1.12007244,-1.11386856,-1.15683315,-1.09188288,-1.12007244,-1.11386856,-1.15683315,-1.15683315,-1.18847838,,,-1.18847838,-1.15683315,-1.15683315,-1.18847838
97,,-1.18847838,-1.18847838,-1.12007244,-1.11386856,-1.15683315,-1.18847838,-1.12007244,-1.11386856,-1.15683315,-1.1145216,-1.12007244,-1.11386856,-1.15683315,-1.15683315,-1.18847838,,,-1.18847838,-1.15683315,-1.15683315,-1.18847838
98,-1.18847838,-1.18847838,-1.18847838,-1.12007244,-1.11386856,-1.15683315,-1.18847838,-1.12007244,-1.11386856,-1.15683315,-1.1145216,-1.12007244,-1.11386856,-1.15683315,-1.15683315,-1.18847838,,,-1.18847838,-1.15683315,-1.15683315,-1.18847838
99,,-1.18847838,-1.18847838,-1.12007244,-1.11386856,-1.15683315,-1.18847838,-1.12007244,-1.11386856,-1.15683315,-1.1145216,-1.12007244,-1.11386856,-1.15683315,-1.15683315,-1.18847838,,,-1.18847838,-1.15683315,-1.15683315,-1.18847838
100,-1.18847838,-1.18847838,-1.18847838,-1.12007244,-1.11386856,-1.15683315,-1.18847838,-1.12007244,-1.11386856,-1.15683315,-1.1145216,-1.12007244,-1.11386856,-1.15683315,-1.15683315,-1.18847838,,,-1.18847838,-1.15683315,-1.15683315,-1.18847838
101,,-1.18847838,-1.18847838,-1.12007244,-1.11386856,-1.15683315,-1.18847838,-1.12007244,-1.11386856,-1.15683315,-1.1145216,-1.12007244,-1.11386856,-1.15683315,-1.15683315,-1.18847838,,,-1.18847838,-1.15683315,-1.15683315,-1.18847838
102,-1.18847838,-1.18847838,-1.18847838,-1.12007244,-1.11386856,-1.15683315,-1.18847838,-1.12007244,-1.11386856,-1.15683315,-1.1145216,-1.12007244,-1.11386856,-1.15683315,-1.15683315,-1.18847838,,,-1.18847838,-1.15683315,-1.15683315,-1.18847838
103,,-1.18847838,-1.18847838,-1.12007244,-1.11386856,-1.15683315,-1.18847838,-1.12007244,-1.11386856,-1.15683315,-1.1145216,-1.12007244,-1.11386856,-1.15683315,-1.15683315,-1.18847838,,,-1.18847838,-1.15683315,-1.15683315,-1.18847838
104,-1.18847838,-1.18847838,-1.18847838,-1.12007244,-1.11386856,-1.15683315,-1.18847838,-1.12007244,-1.11386856,-1.15683315,-1.1145216,-1.12007244,-1.11386856,-1.15683315,-1.15683315,-1.18847838,,,-1.18847838,-1.15683315,-1.15683315,-1.18847838
105,,-1.18847838,-1.18847838,-1.12007244,-1.11386856,-1.15683315,-1.18847838,-1.12007244,-1.11386856,-1.15683315,-1.1145216,-1.12007244,-1.11386856,-1.15683315,-1.15683315,-1.18847838,,,-1.18847838,-1.15683315,-1.15683315,-1.18847838
106,-1.18847838,-1.18847838,-1.18847838,-1.12007244,-1.11386856,-1.15683315,-1.18847838,-1.12007244,-1.11386856,-1.15683315,-1.1145216,-1.12007244,-1.11386856,-1.15683315,-1.15683315,-1.18847838,,,-1.18847838,-1.15683315,-1.15683315,-1.18847838
107,,-1.18847838,-1.18847838,-1.12007244,-1.11386856,-1.15683315,-1.18847838,-1.12007244,-1.11386856,-1.15683315,-1.1145216,-1.12007244,-1.11386856,-1.15683315,-1.15683315,-1.18847838,,,-1.18847838,-1.15683315,-1.15683315,-1.18847838
108,-1.18847838,-1.18847838,-1.18847838,-1.12007244,-1.11386856,-1.15683315,-1.18847838,-1.12007244,-1.11386856,-1.15683315,-1.1145216,-1.12007244,-1.11386856,-1.15683315,-1.15683315,-1.18847838,,,-1.18847838,-1.15683315,-1.15683315,-1.18847838
109,,-1.18847838,-1.18847838,-1.12007244,-1.11386856,-1.15683315,-1.18847838,-1.12007244,-1.11386856,-1.15683315,-1.1145216,-1.12007244,-1.11386856,-1.15683315,-1.15683315,-1.18847838,,,-1.18847838,-1.15683315,-1.15683315,-1.18847838
110,-1.18847838,-1.18847838,-1.18847838,-1.12007244,-1.11386856,-1.15683315,-1.18847838,-1.12007244,-1.11386856,-1.15683315,-1.1145216,-1.12007244,-1.11386856,-1.15683315,-1.15683315,-1.18847838,,,-1.18847838,-1.15683315,-1.15683315,-1.18847838
111,,-1.18847838,-1.18847838,-1.12007244,-1.11386856,-1.15683315,-1.18847838,-1.12007244,-1.11386856,-1.15683315,-1.1145216,-1.12007244,-1.11386856,-1.15683315,-1.15683315,-1.18847838,,,-1.18847838,-1.15683315,-1.15683315,-1.18847838
112,-1.18847838,-1.18847838,-1.18847838,-1.12007244,-1.11386856,-1.15683315,-1.18847838,-1.12007244,-1.11386856,-1.15683315,-1.1145216,-1.12007244,-1.11386856,-1.15683315,-1.15683315,-1.18847838,,,-1.18847838,-1.15683315,-1.15683315,-1.18847838
113,,-1.18847838,-1.18847838,-1.12007244,-1.11386856,-1.15683315,-1.18847838,-1.12007244,-1.11386856,-1.15683315,-1.1145216,-1.12007244,-1.11386856,-1.15683315,-1.15683315,-1.18847838,,,-1.18847838,-1.15683315,-1.15683315,-1.18847838
114,-1.18847838,-1.18847838,-1.18847838,-1.12007244,-1.11386856,-1.15683315,-1.18847838,-1.12007244,-1.11386856,-1.15683315,-1.1145216,-1.12007244,-1.11386856,-1.15683315,-1.15683315,-1.18847838,,,-1.18847838,-1.15683315,-1.15683315,-1.18847838
115,,-1.18847838,-1.18847838,-1.12007244,-1.11386856,-1.15683315,-1.18847838,-1.12007244,-1.11386856,-1.15683315,-1.1145216,-1.12007244,-1.11386856,-1.15683315,-1.15683315,-1.18847838,,,-1.18847838,-1.15683315,-1.15683315,-1.18847838
116,-1.18847838,-1.18847838,-1.18847838,-1.12007244,-1.11386856,-1.15683315,-1.18847838,-1.12007244,-1.11386856,-1.15683315,-1.1145216,-1.12007244,-1.11386856,-1.15683315,-1.15683315,-1.18847838,,,-1.18847838,-1.15683315,-1.15683315,-1.18847838
117,,-1.18847838,-1.18847838,-1.12007244,-1.11386856,-1.15683315,-1.18847838,-1.12007244,-1.11386856,-1.15683315,-1.1145216,-1.12007244,-1.11386856,-1.15683315,-1.15683315,-1.18847838,,,-1.18847838,-1.15683315,-1.15683315,-1.18847838
118,-1.18847838,-1.18847838,-1.18847838,-1.12007244,-1.11386856,-1.15683315,-1.18847838,-1.12007244,-1.11386856,-1.15683315,-1.1145216,-1.12007244,-1.11386856,-1.15683315,-1.15683315,-1.18847838,,,-1.18847838,-1.15683315,-1.15683315,-1.18847838
119,,-1.18847838,-1.18847838,-1.12007244,-1.11386856,-1.15683315,-1.18847838,-1.12007244,-1.11386856,-1.15683315,-1.1145216,-1.12007244,-1.11386856,-1.15683315,-1.15683315,-1.18847838,,,-1.18847838,-1.15683315,-1.15683315,-1.18847838
120,-1.18847838,-1.18847838,-1.18847838,-1.12007244,-1.11386856,-1.15683315,-1.18847838,-1.12007244,-1.11386856,-1.15683315,-1.1145216,-1.12007244,-1.11386856,-1.15683315,-1.15683315,-1.18847838,,,-1.18847838,-1.15683315,-1.15683315,-1.18847838
121,,-1.18847838,-1.18847838,-1.12007244,-1.11386856,-1.15683315,-1.18847838,-1.12007244,-1.11386856,-1.15683315,-1.1145216,-1.12007244,-1.11386856,-1.15683315,-1.15683315,-1.18847838,,,-1.18847838,-1.15683315,-1.15683315,-1.18847838
122,-1.18847838,-1.18847838,-1.18847838,-1.12007244,-1.11386856,-1.15683315,-1.18847838,-1.12007244,-1.11386856,-1.15683315,-1.1145216,-1.12007244,-1.11386856,-1.15683315,-1.15683315,-1.18847838,,,-1.18847838,-1.15683315,-1.15683315,-1.18847838
123,,-1.18847838,-1.18847838,-1.12007244,-1.11386856,-1.15683315,-1.18847838,-1.12007244,-1.11386856,-1.15683315,-1.1145216,-1.12007244,-1.11386856,-1.15683315,-1.15683315,-1.18847838,,,-1.18847838,-1.15683315,-1.15683315,-1.18847838
124,-1.18847838,-1.18847838,-1.18847838,-1.12007244,-1.11386856,-1.15683315,-1.18847838,-1.12007244,-1.11386856,-1.15683315,-1.1145216,-1.12007244,-1.11386856,-1.15683315,-1.15683315,-1.18847838,,,-1.18847838,-1.15683315,-1.15683315,-1.18847838
125,,-1.18847838,-1.18847838,-1.12007244,-1.11386856,-1.15683315,-1.18847838,-1.12007244,-1.11386856,-1.15683315,-1.1145216,-1.12007244,-1.11386856,-1.15683315,-1.15683315,-1.18847838,,,-1.18847838,-1.15683315,-1.15683315,-1.18847838
126,-1.18847838,-1.18847838,-1.18847838,-1.12007244,-1.11386856,-1.15683315,-1.18847838,-1.12007244,-1.11386856,-1.15683315,-1.1145216,-1.12007244,-1.11386856,-1.15683315,-1.15683315,-1.18847838,,,-1.18847838,-1.15683315,-1.15683315,-1.18847838
127,,-1.18847838,-1.18847838,-1.12007244,-1.11386856,-1.15683315,-1.18847838,-1.12007244,-1.11386856,-1.15683315,-1.1145216,-1.12007244,-1.11386856,-1.15683315,-1.15683315,-1.18847838,,,-1.18847838,-1.15683315,-1.15683315,-1.18847838
128,-1.18847838,-1.18847838,-1.18847838,-1.12007244,-1.11386856,-1.15683315,-1.18847838,-1.12007244,-1.11386856,-1.15683315,-1.1145216,-1.12007244,-1.11386856,-1.15683315,-1.18847838,-1.18847838,,,-1.18847838,-1.15683315,-1.15683315,-1.18847838
129,,-1.18847838,-1.18847838,-1.12007244,-1.11386856,-1.15683315,-1.18847838,-1.12007244,-1.11386856,-1.15683315,-1.1145216,-1.12007244,-1.11386856,-1.15683315,-1.18847838,-1.18847838,,,-1.18847838,-1.15683315,-1.15683315,-1.18847838
130,-1.18847838,-1.18847838,-1.18847838,-1.12007244,-1.11386856,-1.15683315,-1.18847838,-1.12007244,-1.11386856,-1.15683315,-1.1145216,-1.12007244,-1.11386856,-1.15683315,-1.18847838,-1.18847838,,,-1.18847838,-1.15683315,-1.15683315,-1.18847838
131,,-1.18847838,-1.18847838,-1.12007244,-1.11386856,-1.15683315,-1.18847838,-1.12007244,-1.11386856,-1.15683315,-1.1145216,-1.12007244,-1.11386856,-1.15683315,-1.18847838,-1.18847838,,,-1.18847838,-1.15683315,-1.15683315,-1.18847838
132,-1.18847838,-1.18847838,-1.18847838,-1.12007244,-1.11386856,-1.15683315,-1.18847838,-1.12007244,-1.11386856,-1.15683315,-1.1145216,-1.12007244,-1.11386856,-1.15683315,-1.18847838,-1.18847838,,,-1.18847838,-1.15683315,-1.15683315,-1.18847838
133,,-1.18847838,-1.18847838,-1.12007244,-1.11386856,-1.15683315,-1.18847838,-1.12007244,-1.11386856,-1.15683315,-1.1145216,-1.12007244,-1.11386856,-1.15683315,-1.18847838,-1.18847838,,,-1.18847838,-1.15683315,-1.15683315,-1.18847838
134,-1.18847838,-1.18847838,-1.18847838,-1.12007244,-1.11386856,-1.15683315,-1.18847838,-1.12007244,-1.11386856,-1.15683315,-1.1145216,-1.12007244,-1.11386856,-1.15683315,-1.18847838,-1.18847838,,,-1.18847838,-1.15683315,-1.15683315,-1.18847838
135,,-1.18847838,-1.18847838,-1.12007244,-1.11386856,-1.15683315,-1.18847838,-1.12007244,-1.11386856,-1.15683315,-1.1145216,-1.12007244,-1.11386856,-1.15683315,-1.18847838,-1.18847838,,,-1.18847838,-1.15683315,-1.15683315,-1.18847838
136,-1.18847838,-1.18847838,-1.18847838,-1.12007244,-1.11386856,-1.15683315,-1.18847838,-1.12007244,-1.11386856,-1.15683315,-1.1145216,-1.12007244,-1.11386856,-1.15683315,-1.18847838,-1.18847838,,,-1.18847838,-1.15683315,-1.15683315,-1.18847838
137,,-1.18847838,-1.18847838,-1.12007244,-1.11386856,-1.15683315,-1.18847838,-1.12007244,-1.11386856,-1.15683315,-1.1145216,-1.12007244,-1.11386856,-1.15683315,-1.18847838,-1.18847838,,,-1.18847838,-1.15683315,-1.15683315,-1.18847838
138,-1.18847838,-1.18847838,-1.18847838,-1.12007244,-1.11386856,-1.15683315,-1.18847838,-1.12007244,-1.11386856,-1.15683315,-1.1145216,-1.12007244,-1.11386856,-1.15683315,-1.18847838,-1.18847838,,,-1.18847838,-1.15683315,-1.15683315,-1.18847838
139,,-1.18847838,-1.18847838,-1.12007244,-1.11386856,-1.15683315,-1.18847838,-1.12007244,-1.11386856,-1.15683315,-1.1145216,-1.12007244,-1.11386856,-1.15683315,-1.18847838,-1.18847838,,,-1.18847838,-1.15683315,-1.15683315,-1.18847838
140,-1.18847838,-1.18847838,-1.18847838,-1.12007244,-1.11386856,-1.15683315,-1.18847838,-1.12007244,-1.11386856,-1.15683315,-1.1145216,-1.12007244,-1.11386856,-1.15683315,-1.18847838,-1.18847838,,,-1.18847838,-1.15683315,-1.15683315,-1.18847838
141,,-1.18847838,-1.18847838,-1.12007244,-1.11386856,-1.15683315,-1.18847838,-1.12007244,-1.11386856,-1.15683315,-1.1145216,-1.12007244,-1.11386856,-1.15683315,-1.18847838,-1.18847838,,,-1.18847838,-1.15683315,-1.15683315,-1.18847838
142,-1.18847838,-1.18847838,-1.18847838,-1.12007244,-1.11386856,-1.15683315,-1.18847838,-1.12007244,-1.11386856,-1.15683315,-1.1145216,-1.12007244,-1.11386856,-1.15683315,-1.18847838,-1.18847838,,,-1.18847838,-1.15683315,-1.15683315,-1.18847838
143,,-1.18847838,-1.18847838,-1.12007244,-1.11386856,-1.15683315,-1.18847838,-1.12007244,-1.11386856,-1.15683315,-1.1145216,-1.12007244,-1.11386856,-1.15683315,-1.18847838,-1.18847838,,,-1.18847838,-1.15683315,-1.15683315,-1.18847838
144,-1.18847838,-1.18847838,-1.18847838,-1.12007244,-1.11386856,-1.15683315,-1.18847838,-1.12007244,-1.11386856,-1.15683315,-1.1145216,-1.12007244,-1.11386856,-1.15683315,-1.18847838,-1.18847838,,,-1.18847838,-1.15683315,-1.15683315,-1.18847838
145,,-1.18847838,-1.18847838,-1.12007244,-1.11386856,-1.15683315,-1.18847838,-1.12007244,-1.11386856,-1.15683315,-1.1145216,-1.12007244,-1.11386856,-1.15683315,-1.18847838,-1.18847838,,,-1.18847838,-1.15683315,-1.15683315,-1.18847838
146,-1.18847838,-1.18847838,-1.18847838,-1.12007244,-1.11386856,-1.15683315,-1.18847838,-1.12007244,-1.11386856,-1.15683315,-1.1145216,-1.12007244,-1.11386856,-1.15683315,-1.18847838,-1.18847838,,,-1.18847838,-1.15683315,-1.15683315,-1.18847838
147,,-1.18847838,-1.18847838,-1.12007244,-1.11386856,-1.15683315,-1.18847838,-1.12007244,-1.11386856,-1.15683315,-1.1145216,-1.12007244,-1.11386856,-1.15683315,-1.18847838,-1.18847838,,,-1.18847838,-1.15683315,-1.15683315,-1.18847838
148,-1.18847838,-1.18847838,-1.18847838,-1.12007244,-1.11386856,-1.15683315,-1.18847838,-1.12007244,-1.11386856,-1.15683315,-1.1145216,-1.12007244,-1.11386856,-1.15683315,-1.18847838,-1.18847838,,,-1.18847838,-1.15683315,-1.15683315,-1.18847838
149,,-1.18847838,-1.18847838,-1.12007244,-1.11386856,-1.15683315,-1.18847838,-1.12007244,-1.11386856,-1.15683315,-1.1145216,-1.12007244,-1.11386856,-1.15683315,-1.18847838,-1.18847838,,,-1.18847838,-1.15683315,-1.15683315,-1.18847838
150,-1.18847838,-1.18847838,-1.18847838,-1.12007244,-1.11386856,-1.15683315,-1.18847838,-1.12007244,-1.11386856,-1.15683315,-1.1145216,-1.12007244,-1.11386856,-1.15683315,-1.18847838,-1.18847838,,,-1.18847838,-1.15683315,-1.15683315,-1.18847838
,,,,,,,,,,,,,,,,,,,-1.18847838,,,
,,,,,,,,,,,,,,,,,,,-1.18847838,,,
,,,,,,,,,,,,,,,,,,,-1.18847838,,,
,,,,,,,,,,,,,,,,,,,-1.18847838,,,
,,,,,,,,,,,,,,,,,,,-1.18847838,,,
,,,,,,,,,,,,,,,,,,,-1.18847838,,,
,,,,,,,,,,,,,,,,,,,-1.18847838,,,
,,,,,,,,,,,,,,,,,,,-1.18847838,,,
,,,,,,,,,,,,,,,,,,,-1.18847838,,,
,,,,,,,,,,,,,,,,,,,-1.18847838,,,
,,,,,,,,,,,,,,,,,,,-1.18847838,,,
,,,,,,,,,,,,,,,,,,,-1.18847838,,,
,,,,,,,,,,,,,,,,,,,-1.18847838,,,
,,,,,,,,,,,,,,,,,,,-1.18847838,,,
,,,,,,,,,,,,,,,,,,,-1.18847838,,,
,,,,,,,,,,,,,,,,,,,-1.18847838,,,
,,,,,,,,,,,,,,,,,,,-1.18847838,,,
,,,,,,,,,,,,,,,,,,,-1.18847838,,,
,,,,,,,,,,,,,,,,,,,-1.18847838,,,
,,,,,,,,,,,,,,,,,,,-1.18847838,,,
,,,,,,,,,,,,,,,,,,,-1.18847838,,,
,,,,,,,,,,,,,,,,,,,-1.18847838,,,
,,,,,,,,,,,,,,,,,,,-1.18847838,,,
,,,,,,,,,,,,,,,,,,,-1.18847838,,,
,,,,,,,,,,,,,,,,,,,-1.18847838,,,
,,,,,,,,,,,,,,,,,,,-1.18847838,,,
,,,,,,,,,,,,,,,,,,,-1.18847838,,,
,,,,,,,,,,,,,,,,,,,-1.18847838,,,
,,,,,,,,,,,,,,,,,,,-1.18847838,,,
,,,,,,,,,,,,,,,,,,,-1.18847838,,,
,,,,,,,,,,,,,,,,,,,-1.18847838,,,
,,,,,,,,,,,,,,,,,,,-1.18847838,,,
,,,,,,,,,,,,,,,,,,,-1.18847838,,,
,,,,,,,,,,,,,,,,,,,-1.18847838,,,
,,,,,,,,,,,,,,,,,,,-1.18847838,,,
,,,,,,,,,,,,,,,,,,,-1.18847838,,,
,,,,,,,,,,,,,,,,,,,-1.18847838,,,
,,,,,,,,,,,,,,,,,,,-1.18847838,,,
,,,,,,,,,,,,,,,,,,,-1.18847838,,,
,,,,,,,,,,,,,,,,,,,-1.18847838,,,
,,,,,,,,,,,,,,,,,,,-1.18847838,,,
,,,,,,,,,,,,,,,,,,,-1.18847838,,,
,,,,,,,,,,,,,,,,,,,-1.18847838,,,
,,,,,,,,,,,,,,,,,,,-1.18847838,,,
,,,,,,,,,,,,,,,,,,,-1.18847838,,,
,,,,,,,,,,,,,,,,,,,-1.18847838,,,
,,,,,,,,,,,,,,,,,,,-1.18847838,,,
,,,,,,,,,,,,,,,,,,,-1.18847838,,,
,,,,,,,,,,,,,,,,,,,-1.18847838,,,
,,,,,,,,,,,,,,,,,,,-1.18847838,,,
,,,,,,,,,,,,,,,,,,,-1.18847838,,,
,,,,,,,,,,,,,,,,,,,-1.18847838,,,
,,,,,,,,,,,,,,,,,,,-1.18847838,,,
,,,,,,,,,,,,,,,,,,,-1.18847838,,,
,,,,,,,,,,,,,,,,,,,-1.18847838,,,
,,,,,,,,,,,,,,,,,,,-1.18847838,,,
,,,,,,,,,,,,,,,,,,,-1.18847838,,,
,,,,,,,,,,,,,,,,,,,-1.18847838,,,
,,,,,,,,,,,,,,,,,,,-1.18847838,,,
,,,,,,,,,,,,,,,,,,,-1.18847838,,,
,,,,,,,,,,,,,,,,,,,-1.18847838,,,
,,,,,,,,,,,,,,,,,,,-1.18847838,,,
,,,,,,,,,,,,,,,,,,,-1.18847838,,,
,,,,,,,,,,,,,,,,,,,-1.18847838,,,
,,,,,,,,,,,,,,,,,,,-1.18847838,,,
,,,,,,,,,,,,,,,,,,,-1.18847838,,,
,,,,,,,,,,,,,,,,,,,-1.18847838,,,
,,,,,,,,,,,,,,,,,,,-1.18847838,,,
,,,,,,,,,,,,,,,,,,,-1.18847838,,,
